randid,Month,Number of Readings,Total Days in Month,Percentage of Month (%)
C2S137,2019-03,31,31,100.0
C2S137,2019-04,1,30,3.33
C2S138,2018-08,31,31,100.0
C2S138,2018-09,30,30,100.0
C2S138,2018-10,31,31,100.0
C2S138,2018-11,30,30,100.0
C2S138,2018-12,31,31,100.0
C2S138,2019-01,31,31,100.0
C2S138,2019-02,28,28,100.0
C2S138,2019-03,31,31,100.0
C2S138,2019-04,1,30,3.33
C2S14,2018-08,31,31,100.0
C2S14,2018-09,30,30,100.0
C2S14,2018-10,31,31,100.0
C2S14,2018-11,30,30,100.0
C2S14,2018-12,31,31,100.0
C2S14,2019-01,31,31,100.0
C2S14,2019-02,28,28,100.0
C2S14,2019-03,31,31,100.0
C2S14,2019-04,1,30,3.33
C2S140,2019-03,9,31,29.03
C2S141,2018-08,31,31,100.0
C2S141,2018-09,30,30,100.0
C2S141,2018-10,31,31,100.0
C2S141,2018-11,30,30,100.0
C2S141,2018-12,31,31,100.0
C2S141,2019-01,31,31,100.0
C2S141,2019-02,28,28,100.0
C2S141,2019-03,31,31,100.0
C2S141,2019-04,1,30,3.33
C2S142,2019-03,9,31,29.03
C2S143,2018-08,31,31,100.0
C2S143,2018-09,30,30,100.0
C2S143,2018-10,31,31,100.0
C2S143,2018-11,30,30,100.0
C2S143,2018-12,31,31,100.0
C2S143,2019-01,31,31,100.0
C2S143,2019-02,28,28,100.0
C2S143,2019-03,31,31,100.0
C2S143,2019-04,1,30,3.33
C2S144,2018-08,31,31,100.0
C2S144,2018-09,30,30,100.0
C2S144,2018-10,31,31,100.0
C2S144,2018-11,30,30,100.0
C2S144,2018-12,31,31,100.0
C2S144,2019-01,31,31,100.0
C2S144,2019-02,28,28,100.0
C2S144,2019-03,31,31,100.0
C2S144,2019-04,1,30,3.33
C2S145,2018-08,31,31,100.0
C2S145,2018-09,30,30,100.0
C2S145,2018-10,31,31,100.0
C2S145,2018-11,30,30,100.0
C2S145,2018-12,31,31,100.0
C2S145,2019-01,31,31,100.0
C2S145,2019-02,28,28,100.0
C2S145,2019-03,31,31,100.0
C2S145,2019-04,1,30,3.33
C2S146,2018-08,31,31,100.0
C2S146,2018-09,30,30,100.0
C2S146,2018-10,31,31,100.0
C2S146,2018-11,30,30,100.0
C2S146,2018-12,31,31,100.0
C2S146,2019-01,31,31,100.0
C2S146,2019-02,28,28,100.0
C2S146,2019-03,31,31,100.0
C2S146,2019-04,1,30,3.33
C2S147,2018-08,31,31,100.0
C2S147,2018-09,30,30,100.0
C2S147,2018-10,31,31,100.0
C2S147,2018-11,30,30,100.0
C2S147,2018-12,31,31,100.0
C2S147,2019-01,31,31,100.0
C2S147,2019-02,28,28,100.0
C2S147,2019-03,31,31,100.0
C2S147,2019-04,1,30,3.33
C2S148,2018-08,31,31,100.0
C2S148,2018-09,30,30,100.0
C2S148,2018-10,31,31,100.0
C2S148,2018-11,30,30,100.0
C2S148,2018-12,31,31,100.0
C2S148,2019-01,31,31,100.0
C2S148,2019-02,28,28,100.0
C2S148,2019-03,31,31,100.0
C2S148,2019-04,1,30,3.33
C2S149,2018-08,31,31,100.0
C2S149,2018-09,30,30,100.0
C2S149,2018-10,31,31,100.0
C2S149,2018-11,30,30,100.0
C2S149,2018-12,31,31,100.0
C2S149,2019-01,31,31,100.0
C2S149,2019-02,28,28,100.0
C2S149,2019-03,31,31,100.0
C2S149,2019-04,1,30,3.33
C2S15,2018-08,31,31,100.0
C2S15,2018-09,30,30,100.0
C2S15,2018-10,31,31,100.0
C2S15,2018-11,30,30,100.0
C2S15,2018-12,31,31,100.0
C2S15,2019-01,31,31,100.0
C2S15,2019-02,28,28,100.0
C2S15,2019-03,31,31,100.0
C2S15,2019-04,1,30,3.33
C2S150,2018-08,31,31,100.0
C2S150,2018-09,30,30,100.0
C2S150,2018-10,31,31,100.0
C2S150,2018-11,30,30,100.0
C2S150,2018-12,31,31,100.0
C2S150,2019-01,31,31,100.0
C2S150,2019-02,28,28,100.0
C2S150,2019-03,31,31,100.0
C2S150,2019-04,1,30,3.33
C2S151,2018-08,31,31,100.0
C2S151,2018-09,30,30,100.0
C2S151,2018-10,31,31,100.0
C2S151,2018-11,30,30,100.0
C2S151,2018-12,31,31,100.0
C2S151,2019-01,31,31,100.0
C2S151,2019-02,28,28,100.0
C2S151,2019-03,31,31,100.0
C2S151,2019-04,1,30,3.33
C2S152,2018-08,31,31,100.0
C2S152,2018-09,30,30,100.0
C2S152,2018-10,31,31,100.0
C2S152,2018-11,30,30,100.0
C2S152,2018-12,31,31,100.0
C2S152,2019-01,31,31,100.0
C2S152,2019-02,28,28,100.0
C2S152,2019-03,31,31,100.0
C2S152,2019-04,1,30,3.33
C2S153,2018-08,31,31,100.0
C2S153,2018-09,30,30,100.0
C2S153,2018-10,31,31,100.0
C2S153,2018-11,30,30,100.0
C2S153,2018-12,31,31,100.0
C2S153,2019-01,31,31,100.0
C2S153,2019-02,28,28,100.0
C2S153,2019-03,31,31,100.0
C2S153,2019-04,1,30,3.33
C2S155,2018-08,31,31,100.0
C2S155,2018-09,30,30,100.0
C2S155,2018-10,31,31,100.0
C2S155,2018-11,30,30,100.0
C2S155,2018-12,31,31,100.0
C2S155,2019-01,31,31,100.0
C2S155,2019-02,28,28,100.0
C2S155,2019-03,31,31,100.0
C2S155,2019-04,1,30,3.33
C2S156,2018-08,31,31,100.0
C2S156,2018-09,30,30,100.0
C2S156,2018-10,31,31,100.0
C2S156,2018-11,30,30,100.0
C2S156,2018-12,31,31,100.0
C2S156,2019-01,31,31,100.0
C2S156,2019-02,28,28,100.0
C2S156,2019-03,31,31,100.0
C2S156,2019-04,1,30,3.33
C2S157,2018-08,31,31,100.0
C2S157,2018-09,30,30,100.0
C2S157,2018-10,31,31,100.0
C2S157,2018-11,30,30,100.0
C2S157,2018-12,31,31,100.0
C2S157,2019-01,31,31,100.0
C2S157,2019-02,28,28,100.0
C2S157,2019-03,31,31,100.0
C2S157,2019-04,1,30,3.33
C2S158,2018-08,31,31,100.0
C2S158,2018-09,30,30,100.0
C2S158,2018-10,31,31,100.0
C2S158,2018-11,30,30,100.0
C2S158,2018-12,31,31,100.0
C2S158,2019-01,31,31,100.0
C2S158,2019-02,28,28,100.0
C2S158,2019-03,31,31,100.0
C2S158,2019-04,1,30,3.33
C2S159,2018-08,31,31,100.0
C2S159,2018-09,30,30,100.0
C2S159,2018-10,31,31,100.0
C2S159,2018-11,30,30,100.0
C2S159,2018-12,31,31,100.0
C2S159,2019-01,31,31,100.0
C2S159,2019-02,28,28,100.0
C2S159,2019-03,31,31,100.0
C2S159,2019-04,1,30,3.33
C2S16,2018-08,31,31,100.0
C2S16,2018-09,30,30,100.0
C2S16,2018-10,31,31,100.0
C2S16,2018-11,30,30,100.0
C2S16,2018-12,31,31,100.0
C2S16,2019-01,31,31,100.0
C2S16,2019-02,28,28,100.0
C2S16,2019-03,31,31,100.0
C2S16,2019-04,1,30,3.33
C2S161,2019-03,9,31,29.03
C2S162,2018-09,30,30,100.0
C2S162,2018-10,31,31,100.0
C2S162,2018-11,30,30,100.0
C2S162,2018-12,31,31,100.0
C2S162,2019-01,31,31,100.0
C2S162,2019-02,28,28,100.0
C2S162,2019-03,31,31,100.0
C2S162,2019-04,1,30,3.33
C2S163,2019-03,9,31,29.03
C2S164,2018-08,31,31,100.0
C2S164,2018-09,30,30,100.0
C2S164,2018-10,31,31,100.0
C2S164,2018-11,30,30,100.0
C2S164,2018-12,31,31,100.0
C2S164,2019-01,31,31,100.0
C2S164,2019-02,28,28,100.0
C2S164,2019-03,31,31,100.0
C2S164,2019-04,1,30,3.33
C2S17,2018-08,31,31,100.0
C2S17,2018-09,30,30,100.0
C2S17,2018-10,31,31,100.0
C2S17,2018-11,30,30,100.0
C2S17,2018-12,31,31,100.0
C2S17,2019-01,31,31,100.0
C2S17,2019-02,28,28,100.0
C2S17,2019-03,31,31,100.0
C2S17,2019-04,1,30,3.33
C2S18,2018-08,31,31,100.0
C2S18,2018-09,30,30,100.0
C2S18,2018-10,31,31,100.0
C2S18,2018-11,30,30,100.0
C2S18,2018-12,31,31,100.0
C2S18,2019-01,31,31,100.0
C2S18,2019-02,28,28,100.0
C2S18,2019-03,31,31,100.0
C2S18,2019-04,1,30,3.33
C2S19,2018-08,31,31,100.0
C2S19,2018-09,30,30,100.0
C2S19,2018-10,31,31,100.0
C2S19,2018-11,30,30,100.0
C2S19,2018-12,31,31,100.0
C2S19,2019-01,31,31,100.0
C2S19,2019-02,28,28,100.0
C2S19,2019-03,31,31,100.0
C2S19,2019-04,1,30,3.33
C2S2,2018-08,31,31,100.0
C2S2,2018-09,30,30,100.0
C2S2,2018-10,31,31,100.0
C2S2,2018-11,30,30,100.0
C2S2,2018-12,31,31,100.0
C2S2,2019-01,31,31,100.0
C2S2,2019-02,28,28,100.0
C2S2,2019-03,31,31,100.0
C2S2,2019-04,1,30,3.33
C2S20,2018-08,31,31,100.0
C2S20,2018-09,30,30,100.0
C2S20,2018-10,31,31,100.0
C2S20,2018-11,30,30,100.0
C2S20,2018-12,31,31,100.0
C2S20,2019-01,31,31,100.0
C2S20,2019-02,28,28,100.0
C2S20,2019-03,31,31,100.0
C2S20,2019-04,1,30,3.33
C2S21,2018-08,31,31,100.0
C2S21,2018-09,30,30,100.0
C2S21,2018-10,31,31,100.0
C2S21,2018-11,30,30,100.0
C2S21,2018-12,31,31,100.0
C2S21,2019-01,31,31,100.0
C2S21,2019-02,28,28,100.0
C2S21,2019-03,31,31,100.0
C2S21,2019-04,1,30,3.33
C2S22,2018-08,31,31,100.0
C2S22,2018-09,30,30,100.0
C2S22,2018-10,31,31,100.0
C2S22,2018-11,30,30,100.0
C2S22,2018-12,31,31,100.0
C2S22,2019-01,31,31,100.0
C2S22,2019-02,28,28,100.0
C2S22,2019-03,31,31,100.0
C2S22,2019-04,1,30,3.33
C2S23,2019-03,4,31,12.9
C2S24,2018-09,30,30,100.0
C2S24,2018-10,31,31,100.0
C2S24,2018-11,30,30,100.0
C2S24,2018-12,31,31,100.0
C2S24,2019-01,31,31,100.0
C2S24,2019-02,28,28,100.0
C2S24,2019-03,31,31,100.0
C2S24,2019-04,1,30,3.33
C2S25,2018-08,31,31,100.0
C2S25,2018-09,30,30,100.0
C2S25,2018-10,31,31,100.0
C2S25,2018-11,30,30,100.0
C2S25,2018-12,31,31,100.0
C2S25,2019-01,31,31,100.0
C2S25,2019-02,28,28,100.0
C2S25,2019-03,31,31,100.0
C2S25,2019-04,1,30,3.33
C2S26,2018-08,31,31,100.0
C2S26,2018-09,30,30,100.0
C2S26,2018-10,31,31,100.0
C2S26,2018-11,30,30,100.0
C2S26,2018-12,31,31,100.0
C2S26,2019-01,31,31,100.0
C2S26,2019-02,28,28,100.0
C2S26,2019-03,31,31,100.0
C2S26,2019-04,1,30,3.33
C2S27,2018-08,31,31,100.0
C2S27,2018-09,30,30,100.0
C2S27,2018-10,31,31,100.0
C2S27,2018-11,30,30,100.0
C2S27,2018-12,31,31,100.0
C2S27,2019-01,31,31,100.0
C2S27,2019-02,28,28,100.0
C2S27,2019-03,31,31,100.0
C2S27,2019-04,1,30,3.33
C2S28,2018-08,31,31,100.0
C2S28,2018-09,30,30,100.0
C2S28,2018-10,31,31,100.0
C2S28,2018-11,30,30,100.0
C2S28,2018-12,31,31,100.0
C2S28,2019-01,31,31,100.0
C2S28,2019-02,28,28,100.0
C2S28,2019-03,31,31,100.0
C2S28,2019-04,1,30,3.33
C2S29,2018-08,31,31,100.0
C2S29,2018-09,30,30,100.0
C2S29,2018-10,31,31,100.0
C2S29,2018-11,30,30,100.0
C2S29,2018-12,31,31,100.0
C2S29,2019-01,31,31,100.0
C2S29,2019-02,28,28,100.0
C2S29,2019-03,31,31,100.0
C2S29,2019-04,1,30,3.33
C2S3,2018-08,31,31,100.0
C2S3,2018-09,30,30,100.0
C2S3,2018-10,31,31,100.0
C2S3,2018-11,30,30,100.0
C2S3,2018-12,31,31,100.0
C2S3,2019-01,31,31,100.0
C2S3,2019-02,28,28,100.0
C2S3,2019-03,31,31,100.0
C2S3,2019-04,1,30,3.33
C2S30,2018-08,31,31,100.0
C2S30,2018-09,30,30,100.0
C2S30,2018-10,31,31,100.0
C2S30,2018-11,30,30,100.0
C2S30,2018-12,31,31,100.0
C2S30,2019-01,31,31,100.0
C2S30,2019-02,28,28,100.0
C2S30,2019-03,31,31,100.0
C2S30,2019-04,1,30,3.33
C2S31,2018-08,31,31,100.0
C2S31,2018-09,30,30,100.0
C2S31,2018-10,31,31,100.0
C2S31,2018-11,30,30,100.0
C2S31,2018-12,31,31,100.0
C2S31,2019-01,31,31,100.0
C2S31,2019-02,28,28,100.0
C2S31,2019-03,31,31,100.0
C2S31,2019-04,1,30,3.33
C2S32,2018-08,31,31,100.0
C2S32,2018-09,30,30,100.0
C2S32,2018-10,31,31,100.0
C2S32,2018-11,30,30,100.0
C2S32,2018-12,31,31,100.0
C2S32,2019-01,31,31,100.0
C2S32,2019-02,28,28,100.0
C2S32,2019-03,31,31,100.0
C2S32,2019-04,1,30,3.33
C2S33,2018-08,31,31,100.0
C2S33,2018-09,30,30,100.0
C2S33,2018-10,31,31,100.0
C2S33,2018-11,30,30,100.0
C2S33,2018-12,31,31,100.0
C2S33,2019-01,31,31,100.0
C2S33,2019-02,28,28,100.0
C2S33,2019-03,31,31,100.0
C2S33,2019-04,1,30,3.33
C2S34,2019-03,31,31,100.0
C2S34,2019-04,1,30,3.33
C2S35,2018-08,31,31,100.0
C2S35,2018-09,30,30,100.0
C2S35,2018-10,31,31,100.0
C2S35,2018-11,30,30,100.0
C2S35,2018-12,31,31,100.0
C2S35,2019-01,31,31,100.0
C2S35,2019-02,28,28,100.0
C2S35,2019-03,31,31,100.0
C2S35,2019-04,1,30,3.33
C2S36,2018-08,31,31,100.0
C2S36,2018-09,30,30,100.0
C2S36,2018-10,31,31,100.0
C2S36,2018-11,30,30,100.0
C2S36,2018-12,31,31,100.0
C2S36,2019-01,31,31,100.0
C2S36,2019-02,28,28,100.0
C2S36,2019-03,31,31,100.0
C2S36,2019-04,1,30,3.33
C2S37,2018-08,31,31,100.0
C2S37,2018-09,30,30,100.0
C2S37,2018-10,31,31,100.0
C2S37,2018-11,30,30,100.0
C2S37,2018-12,31,31,100.0
C2S37,2019-01,31,31,100.0
C2S37,2019-02,28,28,100.0
C2S37,2019-03,31,31,100.0
C2S37,2019-04,1,30,3.33
C2S39,2018-08,31,31,100.0
C2S39,2018-09,30,30,100.0
C2S39,2018-10,31,31,100.0
C2S39,2018-11,30,30,100.0
C2S39,2018-12,31,31,100.0
C2S39,2019-01,31,31,100.0
C2S39,2019-02,28,28,100.0
C2S39,2019-03,31,31,100.0
C2S39,2019-04,1,30,3.33
C2S4,2018-08,31,31,100.0
C2S4,2018-09,30,30,100.0
C2S4,2018-10,31,31,100.0
C2S4,2018-11,30,30,100.0
C2S4,2018-12,31,31,100.0
C2S4,2019-01,31,31,100.0
C2S4,2019-02,28,28,100.0
C2S4,2019-03,31,31,100.0
C2S4,2019-04,1,30,3.33
C2S40,2018-08,31,31,100.0
C2S40,2018-09,30,30,100.0
C2S40,2018-10,31,31,100.0
C2S40,2018-11,30,30,100.0
C2S40,2018-12,31,31,100.0
C2S40,2019-01,31,31,100.0
C2S40,2019-02,28,28,100.0
C2S40,2019-03,31,31,100.0
C2S40,2019-04,1,30,3.33
C2S41,2018-08,31,31,100.0
C2S41,2018-09,30,30,100.0
C2S41,2018-10,31,31,100.0
C2S41,2018-11,30,30,100.0
C2S41,2018-12,31,31,100.0
C2S41,2019-01,31,31,100.0
C2S41,2019-02,28,28,100.0
C2S41,2019-03,31,31,100.0
C2S41,2019-04,1,30,3.33
C2S42,2019-03,31,31,100.0
C2S42,2019-04,1,30,3.33
C2S43,2018-08,31,31,100.0
C2S43,2018-09,30,30,100.0
C2S43,2018-10,31,31,100.0
C2S43,2018-11,30,30,100.0
C2S43,2018-12,31,31,100.0
C2S43,2019-01,31,31,100.0
C2S43,2019-02,28,28,100.0
C2S43,2019-03,31,31,100.0
C2S43,2019-04,1,30,3.33
C2S44,2018-08,31,31,100.0
C2S44,2018-09,30,30,100.0
C2S44,2018-10,31,31,100.0
C2S44,2018-11,30,30,100.0
C2S44,2018-12,31,31,100.0
C2S44,2019-01,31,31,100.0
C2S44,2019-02,28,28,100.0
C2S44,2019-03,31,31,100.0
C2S44,2019-04,1,30,3.33
C2S45,2018-08,31,31,100.0
C2S45,2018-09,30,30,100.0
C2S45,2018-10,31,31,100.0
C2S45,2018-11,30,30,100.0
C2S45,2018-12,31,31,100.0
C2S45,2019-01,31,31,100.0
C2S45,2019-02,28,28,100.0
C2S45,2019-03,31,31,100.0
C2S45,2019-04,1,30,3.33
C2S46,2018-08,31,31,100.0
C2S46,2018-09,30,30,100.0
C2S46,2018-10,31,31,100.0
C2S46,2018-11,30,30,100.0
C2S46,2018-12,31,31,100.0
C2S46,2019-01,31,31,100.0
C2S46,2019-02,28,28,100.0
C2S46,2019-03,31,31,100.0
C2S46,2019-04,1,30,3.33
C2S47,2018-08,31,31,100.0
C2S47,2018-09,30,30,100.0
C2S47,2018-10,31,31,100.0
C2S47,2018-11,30,30,100.0
C2S47,2018-12,31,31,100.0
C2S47,2019-01,31,31,100.0
